nginx-1  | 172.19.0.1 - GET /npm HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=- uri="/npm" args="-"
nginx-1  | 172.19.0.1 - GET /unique-slug/-/unique-slug-5.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/unique-slug/-/unique-slug-5.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /tinyglobby/-/tinyglobby-0.2.14.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/tinyglobby/-/tinyglobby-0.2.14.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /tslib/-/tslib-2.8.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/tslib/-/tslib-2.8.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /tuf-js/-/tuf-js-3.1.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/tuf-js/-/tuf-js-3.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /supports-preserve-symlinks-flag/-/supports-preserve-symlinks-flag-1.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/supports-preserve-symlinks-flag/-/supports-preserve-symlinks-flag-1.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /type-is/-/type-is-2.1.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/type-is/-/type-is-2.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /toidentifier/-/toidentifier-1.0.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/toidentifier/-/toidentifier-1.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /uri-js/-/uri-js-4.4.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/uri-js/-/uri-js-4.4.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /zod/-/zod-3.25.76.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/zod/-/zod-3.25.76.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /strip-ansi/-/strip-ansi-6.0.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/strip-ansi/-/strip-ansi-6.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /string-width/-/string-width-4.2.3.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/string-width/-/string-width-4.2.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /spdx-expression-parse/-/spdx-expression-parse-3.0.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/spdx-expression-parse/-/spdx-expression-parse-3.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /strip-ansi/-/strip-ansi-7.2.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/strip-ansi/-/strip-ansi-7.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /statuses/-/statuses-2.0.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/statuses/-/statuses-2.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /stdin-discarder/-/stdin-discarder-0.2.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/stdin-discarder/-/stdin-discarder-0.2.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /spdx-license-ids/-/spdx-license-ids-3.0.23.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/spdx-license-ids/-/spdx-license-ids-3.0.23.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /string-width/-/string-width-7.2.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/string-width/-/string-width-7.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /ssri/-/ssri-12.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/ssri/-/ssri-12.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /spdx-exceptions/-/spdx-exceptions-2.5.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/spdx-exceptions/-/spdx-exceptions-2.5.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /source-map-support/-/source-map-support-0.5.21.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/source-map-support/-/source-map-support-0.5.21.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /spdx-correct/-/spdx-correct-3.2.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/spdx-correct/-/spdx-correct-3.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /source-map-js/-/source-map-js-1.2.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/source-map-js/-/source-map-js-1.2.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /socks-proxy-agent/-/socks-proxy-agent-8.0.5.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/socks-proxy-agent/-/socks-proxy-agent-8.0.5.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /source-map/-/source-map-0.7.6.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/source-map/-/source-map-0.7.6.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /socks/-/socks-2.8.9.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/socks/-/socks-2.8.9.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /slice-ansi/-/slice-ansi-5.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/slice-ansi/-/slice-ansi-5.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /smart-buffer/-/smart-buffer-4.2.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/smart-buffer/-/smart-buffer-4.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /signal-exit/-/signal-exit-4.1.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/signal-exit/-/signal-exit-4.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /side-channel/-/side-channel-1.1.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/side-channel/-/side-channel-1.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /side-channel-list/-/side-channel-list-1.0.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/side-channel-list/-/side-channel-list-1.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /side-channel-map/-/side-channel-map-1.0.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/side-channel-map/-/side-channel-map-1.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /shebang-regex/-/shebang-regex-3.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/shebang-regex/-/shebang-regex-3.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /side-channel-weakmap/-/side-channel-weakmap-1.0.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/side-channel-weakmap/-/side-channel-weakmap-1.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /sigstore/-/sigstore-3.1.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/sigstore/-/sigstore-3.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /shebang-command/-/shebang-command-2.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/shebang-command/-/shebang-command-2.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /semver/-/semver-7.7.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/semver/-/semver-7.7.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /serve-static/-/serve-static-2.2.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/serve-static/-/serve-static-2.2.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /send/-/send-1.2.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/send/-/send-1.2.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /typescript/-/typescript-5.9.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/typescript/-/typescript-5.9.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /safer-buffer/-/safer-buffer-2.1.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/safer-buffer/-/safer-buffer-2.1.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /setprototypeof/-/setprototypeof-1.2.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/setprototypeof/-/setprototypeof-1.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /router/-/router-2.2.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/router/-/router-2.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /restore-cursor/-/restore-cursor-5.1.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/restore-cursor/-/restore-cursor-5.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /retry/-/retry-0.12.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/retry/-/retry-0.12.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /rolldown/-/rolldown-1.0.0-beta.32.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/rolldown/-/rolldown-1.0.0-beta.32.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /require-from-string/-/require-from-string-2.0.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/require-from-string/-/require-from-string-2.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /resolve/-/resolve-1.22.10.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/resolve/-/resolve-1.22.10.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /raw-body/-/raw-body-3.0.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/raw-body/-/raw-body-3.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /rfdc/-/rfdc-1.4.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/rfdc/-/rfdc-1.4.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /reflect-metadata/-/reflect-metadata-0.2.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/reflect-metadata/-/reflect-metadata-0.2.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /sass/-/sass-1.90.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/sass/-/sass-1.90.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /readdirp/-/readdirp-4.1.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/readdirp/-/readdirp-4.1.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /range-parser/-/range-parser-1.2.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/range-parser/-/range-parser-1.2.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /qs/-/qs-6.15.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/qs/-/qs-6.15.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /rollup/-/rollup-4.61.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/rollup/-/rollup-4.61.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /promise-retry/-/promise-retry-2.0.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/promise-retry/-/promise-retry-2.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /rxjs/-/rxjs-7.8.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/rxjs/-/rxjs-7.8.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /punycode/-/punycode-2.3.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/punycode/-/punycode-2.3.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /postcss-media-query-parser/-/postcss-media-query-parser-0.2.3.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/postcss-media-query-parser/-/postcss-media-query-parser-0.2.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /postcss/-/postcss-8.5.15.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/postcss/-/postcss-8.5.15.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /pkce-challenge/-/pkce-challenge-5.0.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/pkce-challenge/-/pkce-challenge-5.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /proc-log/-/proc-log-5.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/proc-log/-/proc-log-5.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /picomatch/-/picomatch-4.0.3.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/picomatch/-/picomatch-4.0.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /proxy-addr/-/proxy-addr-2.0.7.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/proxy-addr/-/proxy-addr-2.0.7.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /path-parse/-/path-parse-1.0.7.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/path-parse/-/path-parse-1.0.7.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /piscina/-/piscina-5.1.3.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/piscina/-/piscina-5.1.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /picocolors/-/picocolors-1.1.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/picocolors/-/picocolors-1.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /path-scurry/-/path-scurry-1.11.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/path-scurry/-/path-scurry-1.11.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /path-to-regexp/-/path-to-regexp-8.4.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/path-to-regexp/-/path-to-regexp-8.4.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /path-key/-/path-key-3.1.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/path-key/-/path-key-3.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /pacote/-/pacote-21.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/pacote/-/pacote-21.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /parse5-html-rewriting-stream/-/parse5-html-rewriting-stream-8.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/parse5-html-rewriting-stream/-/parse5-html-rewriting-stream-8.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /package-json-from-dist/-/package-json-from-dist-1.0.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/package-json-from-dist/-/package-json-from-dist-1.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /p-map/-/p-map-7.0.4.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/p-map/-/p-map-7.0.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /parse5-sax-parser/-/parse5-sax-parser-8.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/parse5-sax-parser/-/parse5-sax-parser-8.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /parseurl/-/parseurl-1.3.3.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/parseurl/-/parseurl-1.3.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /ora/-/ora-8.2.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/ora/-/ora-8.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /onetime/-/onetime-7.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/onetime/-/onetime-7.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /parse5/-/parse5-8.0.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/parse5/-/parse5-8.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /once/-/once-1.4.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/once/-/once-1.4.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /object-inspect/-/object-inspect-1.13.4.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/object-inspect/-/object-inspect-1.13.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /ordered-binary/-/ordered-binary-1.6.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/ordered-binary/-/ordered-binary-1.6.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /object-assign/-/object-assign-4.1.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/object-assign/-/object-assign-4.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /nth-check/-/nth-check-2.1.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/nth-check/-/nth-check-2.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-registry-fetch/-/npm-registry-fetch-18.0.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/npm-registry-fetch/-/npm-registry-fetch-18.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-package-arg/-/npm-package-arg-13.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/npm-package-arg/-/npm-package-arg-13.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-packlist/-/npm-packlist-10.0.4.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/npm-packlist/-/npm-packlist-10.0.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-normalize-package-bin/-/npm-normalize-package-bin-4.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/npm-normalize-package-bin/-/npm-normalize-package-bin-4.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /node-gyp-build-optional-packages/-/node-gyp-build-optional-packages-5.2.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/node-gyp-build-optional-packages/-/node-gyp-build-optional-packages-5.2.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-pick-manifest/-/npm-pick-manifest-10.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/npm-pick-manifest/-/npm-pick-manifest-10.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-bundled/-/npm-bundled-4.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/npm-bundled/-/npm-bundled-4.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /nopt/-/nopt-8.1.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/nopt/-/nopt-8.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /on-finished/-/on-finished-2.4.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/on-finished/-/on-finished-2.4.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /node-releases/-/node-releases-2.0.47.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/node-releases/-/node-releases-2.0.47.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-install-checks/-/npm-install-checks-7.1.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/npm-install-checks/-/npm-install-checks-7.1.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /negotiator/-/negotiator-1.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/negotiator/-/negotiator-1.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /mute-stream/-/mute-stream-2.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/mute-stream/-/mute-stream-2.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /node-addon-api/-/node-addon-api-6.1.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/node-addon-api/-/node-addon-api-6.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /nanoid/-/nanoid-3.3.12.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/nanoid/-/nanoid-3.3.12.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /msgpackr-extract/-/msgpackr-extract-3.0.4.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/msgpackr-extract/-/msgpackr-extract-3.0.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /node-gyp/-/node-gyp-11.5.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/node-gyp/-/node-gyp-11.5.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /minipass-pipeline/-/minipass-pipeline-1.2.4.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/minipass-pipeline/-/minipass-pipeline-1.2.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /minizlib/-/minizlib-3.1.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/minizlib/-/minizlib-3.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /mrmime/-/mrmime-2.0.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/mrmime/-/mrmime-2.0.1.tgz" args="-"
