registry-1  | [registry] 2026-06-10T01:47:11.786Z GET /npm auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.945Z GET /side-channel-list/-/side-channel-list-1.0.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.946Z GET /shebang-regex/-/shebang-regex-3.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.951Z GET /shebang-command/-/shebang-command-2.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.954Z GET /semver/-/semver-7.7.2.tgz auth=absent
registry-1  | [registry-upstream] GET /source-map/-/source-map-0.7.6.tgz status=200 bytes=51980
registry-1  | [registry] 2026-06-10T01:47:12.960Z GET /send/-/send-1.2.1.tgz auth=absent
registry-1  | [registry-upstream] GET /socks/-/socks-2.8.9.tgz status=200 bytes=29896
registry-1  | [registry-upstream] GET /slice-ansi/-/slice-ansi-5.0.0.tgz status=200 bytes=3013
registry-1  | [registry] 2026-06-10T01:47:12.973Z GET /serve-static/-/serve-static-2.2.1.tgz auth=absent
registry-1  | [registry-upstream] GET /smart-buffer/-/smart-buffer-4.2.0.tgz status=200 bytes=21539
registry-1  | [registry] 2026-06-10T01:47:12.978Z GET /sass/-/sass-1.90.0.tgz auth=absent
registry-1  | [registry-upstream] GET /signal-exit/-/signal-exit-4.1.0.tgz status=200 bytes=13369
registry-1  | [registry-upstream] GET /side-channel/-/side-channel-1.1.1.tgz status=200 bytes=8083
registry-1  | [registry-upstream] GET /side-channel-list/-/side-channel-list-1.0.1.tgz status=200 bytes=6135
registry-1  | [registry-upstream] GET /side-channel-map/-/side-channel-map-1.0.1.tgz status=200 bytes=5280
registry-1  | [registry-upstream] GET /shebang-regex/-/shebang-regex-3.0.0.tgz status=200 bytes=1503
registry-1  | [registry] 2026-06-10T01:47:13.006Z GET /setprototypeof/-/setprototypeof-1.2.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.009Z GET /safer-buffer/-/safer-buffer-2.1.2.tgz auth=absent
registry-1  | [registry-upstream] GET /side-channel-weakmap/-/side-channel-weakmap-1.0.2.tgz status=200 bytes=5442
registry-1  | [registry-upstream] GET /sigstore/-/sigstore-3.1.0.tgz status=200 bytes=10123
registry-1  | [registry-upstream] GET /shebang-command/-/shebang-command-2.0.0.tgz status=200 bytes=1506
registry-1  | [registry-upstream] GET /semver/-/semver-7.7.2.tgz status=200 bytes=28388
registry-1  | [registry-upstream] GET /serve-static/-/serve-static-2.2.1.tgz status=200 bytes=5463
registry-1  | [registry-upstream] GET /send/-/send-1.2.1.tgz status=200 bytes=10317
registry-1  | [registry] 2026-06-10T01:47:13.019Z GET /rxjs/-/rxjs-7.8.2.tgz auth=absent
registry-1  | [registry-upstream] GET /typescript/-/typescript-5.9.2.tgz status=200 bytes=4376902
registry-1  | [registry] 2026-06-10T01:47:13.029Z GET /router/-/router-2.2.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.030Z GET /rollup/-/rollup-4.61.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.031Z GET /rfdc/-/rfdc-1.4.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.033Z GET /rolldown/-/rolldown-1.0.0-beta.32.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.034Z GET /retry/-/retry-0.12.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.035Z GET /restore-cursor/-/restore-cursor-5.1.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.037Z GET /resolve/-/resolve-1.22.10.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.038Z GET /reflect-metadata/-/reflect-metadata-0.2.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.039Z GET /require-from-string/-/require-from-string-2.0.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.040Z GET /raw-body/-/raw-body-3.0.2.tgz auth=absent
registry-1  | [registry-upstream] GET /safer-buffer/-/safer-buffer-2.1.2.tgz status=200 bytes=12035
registry-1  | [registry-upstream] GET /setprototypeof/-/setprototypeof-1.2.0.tgz status=200 bytes=1969
registry-1  | [registry-upstream] GET /router/-/router-2.2.0.tgz status=200 bytes=14251
registry-1  | [registry-upstream] GET /restore-cursor/-/restore-cursor-5.1.0.tgz status=200 bytes=1684
registry-1  | [registry-upstream] GET /retry/-/retry-0.12.0.tgz status=200 bytes=10431
registry-1  | [registry] 2026-06-10T01:47:13.076Z GET /readdirp/-/readdirp-4.1.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.078Z GET /qs/-/qs-6.15.2.tgz auth=absent
registry-1  | [registry-upstream] GET /rolldown/-/rolldown-1.0.0-beta.32.tgz status=200 bytes=201279
registry-1  | [registry] 2026-06-10T01:47:13.084Z GET /range-parser/-/range-parser-1.2.1.tgz auth=absent
registry-1  | [registry-upstream] GET /sass/-/sass-1.90.0.tgz status=200 bytes=902157
registry-1  | [registry] 2026-06-10T01:47:13.098Z GET /punycode/-/punycode-2.3.1.tgz auth=absent
registry-1  | [registry-upstream] GET /require-from-string/-/require-from-string-2.0.2.tgz status=200 bytes=1816
registry-1  | [registry-upstream] GET /resolve/-/resolve-1.22.10.tgz status=200 bytes=27550
registry-1  | [registry-upstream] GET /raw-body/-/raw-body-3.0.2.tgz status=200 bytes=6308
registry-1  | [registry-upstream] GET /rfdc/-/rfdc-1.4.1.tgz status=200 bytes=6828
registry-1  | [registry-upstream] GET /reflect-metadata/-/reflect-metadata-0.2.2.tgz status=200 bytes=33419
registry-1  | [registry] 2026-06-10T01:47:13.110Z GET /promise-retry/-/promise-retry-2.0.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.111Z GET /proxy-addr/-/proxy-addr-2.0.7.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.112Z GET /proc-log/-/proc-log-5.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.113Z GET /postcss/-/postcss-8.5.15.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.115Z GET /postcss-media-query-parser/-/postcss-media-query-parser-0.2.3.tgz auth=absent
registry-1  | [registry-upstream] GET /readdirp/-/readdirp-4.1.2.tgz status=200 bytes=8047
registry-1  | [registry] 2026-06-10T01:47:13.122Z GET /pkce-challenge/-/pkce-challenge-5.0.1.tgz auth=absent
registry-1  | [registry-upstream] GET /range-parser/-/range-parser-1.2.1.tgz status=200 bytes=3603
registry-1  | [registry-upstream] GET /qs/-/qs-6.15.2.tgz status=200 bytes=67675
registry-1  | [registry] 2026-06-10T01:47:13.128Z GET /piscina/-/piscina-5.1.3.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.131Z GET /picomatch/-/picomatch-4.0.3.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.133Z GET /path-parse/-/path-parse-1.0.7.tgz auth=absent
registry-1  | [registry-upstream] GET /rollup/-/rollup-4.61.1.tgz status=200 bytes=570682
registry-1  | [registry] 2026-06-10T01:47:13.145Z GET /path-scurry/-/path-scurry-1.11.1.tgz auth=absent
registry-1  | [registry-upstream] GET /rxjs/-/rxjs-7.8.2.tgz status=200 bytes=751525
registry-1  | [registry-upstream] GET /promise-retry/-/promise-retry-2.0.1.tgz status=200 bytes=4101
registry-1  | [registry] 2026-06-10T01:47:13.150Z GET /picocolors/-/picocolors-1.1.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.152Z GET /path-to-regexp/-/path-to-regexp-8.4.2.tgz auth=absent
registry-1  | [registry-upstream] GET /punycode/-/punycode-2.3.1.tgz status=200 bytes=7603
registry-1  | [registry-upstream] GET /postcss-media-query-parser/-/postcss-media-query-parser-0.2.3.tgz status=200 bytes=7245
registry-1  | [registry-upstream] GET /postcss/-/postcss-8.5.15.tgz status=200 bytes=48456
registry-1  | [registry-upstream] GET /pkce-challenge/-/pkce-challenge-5.0.1.tgz status=200 bytes=4210
registry-1  | [registry-upstream] GET /proc-log/-/proc-log-5.0.0.tgz status=200 bytes=3989
registry-1  | [registry-upstream] GET /picomatch/-/picomatch-4.0.3.tgz status=200 bytes=22248
registry-1  | [registry-upstream] GET /proxy-addr/-/proxy-addr-2.0.7.tgz status=200 bytes=5495
registry-1  | [registry-upstream] GET /path-parse/-/path-parse-1.0.7.tgz status=200 bytes=2067
registry-1  | [registry] 2026-06-10T01:47:13.176Z GET /path-key/-/path-key-3.1.1.tgz auth=absent
registry-1  | [registry-upstream] GET /piscina/-/piscina-5.1.3.tgz status=200 bytes=92996
registry-1  | [registry] 2026-06-10T01:47:13.184Z GET /parseurl/-/parseurl-1.3.3.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.186Z GET /parse5-html-rewriting-stream/-/parse5-html-rewriting-stream-8.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.186Z GET /parse5/-/parse5-8.0.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.188Z GET /parse5-sax-parser/-/parse5-sax-parser-8.0.0.tgz auth=absent
registry-1  | [registry-upstream] GET /picocolors/-/picocolors-1.1.1.tgz status=200 bytes=2625
registry-1  | [registry] 2026-06-10T01:47:13.191Z GET /pacote/-/pacote-21.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.193Z GET /package-json-from-dist/-/package-json-from-dist-1.0.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.195Z GET /p-map/-/p-map-7.0.4.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.196Z GET /ora/-/ora-8.2.0.tgz auth=absent
registry-1  | [registry-upstream] GET /path-scurry/-/path-scurry-1.11.1.tgz status=200 bytes=101719
registry-1  | [registry] 2026-06-10T01:47:13.199Z GET /once/-/once-1.4.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.200Z GET /onetime/-/onetime-7.0.0.tgz auth=absent
registry-1  | [registry-upstream] GET /path-to-regexp/-/path-to-regexp-8.4.2.tgz status=200 bytes=14900
registry-1  | [registry-upstream] GET /path-key/-/path-key-3.1.1.tgz status=200 bytes=2258
registry-1  | [registry] 2026-06-10T01:47:13.219Z GET /ordered-binary/-/ordered-binary-1.6.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.220Z GET /object-inspect/-/object-inspect-1.13.4.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.224Z GET /object-assign/-/object-assign-4.1.1.tgz auth=absent
registry-1  | [registry-upstream] GET /pacote/-/pacote-21.0.0.tgz status=200 bytes=23261
registry-1  | [registry-upstream] GET /parse5-html-rewriting-stream/-/parse5-html-rewriting-stream-8.0.0.tgz status=200 bytes=3510
registry-1  | [registry-upstream] GET /package-json-from-dist/-/package-json-from-dist-1.0.1.tgz status=200 bytes=5750
registry-1  | [registry] 2026-06-10T01:47:13.230Z GET /npm-registry-fetch/-/npm-registry-fetch-18.0.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.232Z GET /nth-check/-/nth-check-2.1.1.tgz auth=absent
registry-1  | [registry-upstream] GET /p-map/-/p-map-7.0.4.tgz status=200 bytes=5826
registry-1  | [registry-upstream] GET /parse5-sax-parser/-/parse5-sax-parser-8.0.0.tgz status=200 bytes=5528
registry-1  | [registry-upstream] GET /parseurl/-/parseurl-1.3.3.tgz status=200 bytes=3952
registry-1  | [registry-upstream] GET /ora/-/ora-8.2.0.tgz status=200 bytes=7498
registry-1  | [registry-upstream] GET /onetime/-/onetime-7.0.0.tgz status=200 bytes=2366
registry-1  | [registry-upstream] GET /parse5/-/parse5-8.0.1.tgz status=200 bytes=56234
registry-1  | [registry-upstream] GET /once/-/once-1.4.0.tgz status=200 bytes=1979
registry-1  | [registry] 2026-06-10T01:47:13.244Z GET /on-finished/-/on-finished-2.4.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.245Z GET /npm-packlist/-/npm-packlist-10.0.4.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.246Z GET /npm-install-checks/-/npm-install-checks-7.1.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.254Z GET /npm-pick-manifest/-/npm-pick-manifest-10.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.256Z GET /npm-normalize-package-bin/-/npm-normalize-package-bin-4.0.0.tgz auth=absent
registry-1  | [registry-upstream] GET /object-inspect/-/object-inspect-1.13.4.tgz status=200 bytes=28026
registry-1  | [registry] 2026-06-10T01:47:13.259Z GET /npm-package-arg/-/npm-package-arg-13.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.261Z GET /npm-bundled/-/npm-bundled-4.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.262Z GET /nopt/-/nopt-8.1.0.tgz auth=absent
registry-1  | [registry-upstream] GET /ordered-binary/-/ordered-binary-1.6.1.tgz status=200 bytes=28979
registry-1  | [registry] 2026-06-10T01:47:13.265Z GET /node-gyp-build-optional-packages/-/node-gyp-build-optional-packages-5.2.2.tgz auth=absent
registry-1  | [registry-upstream] GET /object-assign/-/object-assign-4.1.1.tgz status=200 bytes=2675
registry-1  | [registry] 2026-06-10T01:47:13.268Z GET /node-gyp/-/node-gyp-11.5.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.276Z GET /node-releases/-/node-releases-2.0.47.tgz auth=absent
registry-1  | [registry-upstream] GET /nth-check/-/nth-check-2.1.1.tgz status=200 bytes=8576
registry-1  | [registry] 2026-06-10T01:47:13.280Z GET /negotiator/-/negotiator-1.0.0.tgz auth=absent
registry-1  | [registry-upstream] GET /npm-registry-fetch/-/npm-registry-fetch-18.0.2.tgz status=200 bytes=14264
registry-1  | [registry] 2026-06-10T01:47:13.284Z GET /node-addon-api/-/node-addon-api-6.1.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.291Z GET /mute-stream/-/mute-stream-2.0.0.tgz auth=absent
registry-1  | [registry-upstream] GET /npm-package-arg/-/npm-package-arg-13.0.0.tgz status=200 bytes=8008
registry-1  | [registry] 2026-06-10T01:47:13.295Z GET /nanoid/-/nanoid-3.3.12.tgz auth=absent
registry-1  | [registry-upstream] GET /npm-packlist/-/npm-packlist-10.0.4.tgz status=200 bytes=8052
registry-1  | [registry-upstream] GET /npm-normalize-package-bin/-/npm-normalize-package-bin-4.0.0.tgz status=200 bytes=1874
registry-1  | [registry-upstream] GET /node-gyp-build-optional-packages/-/node-gyp-build-optional-packages-5.2.2.tgz status=200 bytes=5710
registry-1  | [registry-upstream] GET /npm-pick-manifest/-/npm-pick-manifest-10.0.0.tgz status=200 bytes=5867
registry-1  | [registry-upstream] GET /npm-bundled/-/npm-bundled-4.0.0.tgz status=200 bytes=3991
registry-1  | [registry-upstream] GET /nopt/-/nopt-8.1.0.tgz status=200 bytes=9865
registry-1  | [registry-upstream] GET /on-finished/-/on-finished-2.4.1.tgz status=200 bytes=5052
registry-1  | [registry-upstream] GET /node-releases/-/node-releases-2.0.47.tgz status=200 bytes=5991
registry-1  | [registry-upstream] GET /npm-install-checks/-/npm-install-checks-7.1.2.tgz status=200 bytes=4416
registry-1  | [registry] 2026-06-10T01:47:13.313Z GET /msgpackr-extract/-/msgpackr-extract-3.0.4.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.315Z GET /msgpackr/-/msgpackr-1.12.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.316Z GET /mrmime/-/mrmime-2.0.1.tgz auth=absent
registry-1  | [registry-upstream] GET /negotiator/-/negotiator-1.0.0.tgz status=200 bytes=6792
registry-1  | [registry] 2026-06-10T01:47:13.327Z GET /ms/-/ms-2.1.3.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.329Z GET /minipass-sized/-/minipass-sized-1.0.3.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.330Z GET /mkdirp/-/mkdirp-1.0.4.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.332Z GET /minizlib/-/minizlib-3.1.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.334Z GET /minipass-pipeline/-/minipass-pipeline-1.2.4.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:13.336Z GET /minipass-flush/-/minipass-flush-1.0.7.tgz auth=absent
registry-1  | [registry-upstream] GET /mute-stream/-/mute-stream-2.0.0.tgz status=200 bytes=2816
registry-1  | [registry] 2026-06-10T01:47:13.339Z GET /minipass-fetch/-/minipass-fetch-4.0.1.tgz auth=absent
registry-1  | [registry-upstream] GET /node-addon-api/-/node-addon-api-6.1.0.tgz status=200 bytes=59623
