nginx-1  | 2026/06/10 01:48:29 [warn] 30#30: *444 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/42/0000000428 while reading upstream, client: 172.19.0.1, server: _, request: "GET /npm HTTP/1.1", upstream: "http://172.19.0.2:4873/npm", host: "localhost:28080"
nginx-1  | 172.19.0.1 - GET /typescript/-/typescript-5.9.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/typescript/-/typescript-5.9.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /type-is/-/type-is-2.1.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/type-is/-/type-is-2.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /toidentifier/-/toidentifier-1.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/toidentifier/-/toidentifier-1.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /tslib/-/tslib-2.8.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/tslib/-/tslib-2.8.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /tinyglobby/-/tinyglobby-0.2.14.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/tinyglobby/-/tinyglobby-0.2.14.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /supports-preserve-symlinks-flag/-/supports-preserve-symlinks-flag-1.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/supports-preserve-symlinks-flag/-/supports-preserve-symlinks-flag-1.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /tar/-/tar-6.2.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/tar/-/tar-6.2.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /strip-ansi/-/strip-ansi-6.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/strip-ansi/-/strip-ansi-6.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /strip-ansi/-/strip-ansi-7.2.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/strip-ansi/-/strip-ansi-7.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /string-width/-/string-width-7.2.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/string-width/-/string-width-7.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /string-width/-/string-width-4.2.3.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/string-width/-/string-width-4.2.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /ssri/-/ssri-12.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/ssri/-/ssri-12.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /statuses/-/statuses-2.0.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/statuses/-/statuses-2.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /stdin-discarder/-/stdin-discarder-0.2.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/stdin-discarder/-/stdin-discarder-0.2.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /spdx-license-ids/-/spdx-license-ids-3.0.23.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/spdx-license-ids/-/spdx-license-ids-3.0.23.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /spdx-exceptions/-/spdx-exceptions-2.5.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/spdx-exceptions/-/spdx-exceptions-2.5.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /spdx-expression-parse/-/spdx-expression-parse-3.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/spdx-expression-parse/-/spdx-expression-parse-3.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /spdx-correct/-/spdx-correct-3.2.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/spdx-correct/-/spdx-correct-3.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /source-map-js/-/source-map-js-1.2.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/source-map-js/-/source-map-js-1.2.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /source-map-support/-/source-map-support-0.5.21.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/source-map-support/-/source-map-support-0.5.21.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /socks/-/socks-2.8.9.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/socks/-/socks-2.8.9.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /source-map/-/source-map-0.7.6.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/source-map/-/source-map-0.7.6.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /smart-buffer/-/smart-buffer-4.2.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/smart-buffer/-/smart-buffer-4.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /socks-proxy-agent/-/socks-proxy-agent-8.0.5.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/socks-proxy-agent/-/socks-proxy-agent-8.0.5.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /slice-ansi/-/slice-ansi-5.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/slice-ansi/-/slice-ansi-5.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /sigstore/-/sigstore-3.1.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/sigstore/-/sigstore-3.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /signal-exit/-/signal-exit-4.1.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/signal-exit/-/signal-exit-4.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /side-channel-map/-/side-channel-map-1.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/side-channel-map/-/side-channel-map-1.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /side-channel-weakmap/-/side-channel-weakmap-1.0.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/side-channel-weakmap/-/side-channel-weakmap-1.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /side-channel-list/-/side-channel-list-1.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/side-channel-list/-/side-channel-list-1.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /side-channel/-/side-channel-1.1.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/side-channel/-/side-channel-1.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /shebang-regex/-/shebang-regex-3.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/shebang-regex/-/shebang-regex-3.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /setprototypeof/-/setprototypeof-1.2.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/setprototypeof/-/setprototypeof-1.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /shebang-command/-/shebang-command-2.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/shebang-command/-/shebang-command-2.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /serve-static/-/serve-static-2.2.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/serve-static/-/serve-static-2.2.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /semver/-/semver-7.7.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/semver/-/semver-7.7.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /send/-/send-1.2.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/send/-/send-1.2.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /safer-buffer/-/safer-buffer-2.1.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/safer-buffer/-/safer-buffer-2.1.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /sass/-/sass-1.90.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/sass/-/sass-1.90.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /rxjs/-/rxjs-7.8.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/rxjs/-/rxjs-7.8.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /rollup/-/rollup-4.61.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/rollup/-/rollup-4.61.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /router/-/router-2.2.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/router/-/router-2.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /retry/-/retry-0.12.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/retry/-/retry-0.12.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /rolldown/-/rolldown-1.0.0-beta.32.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/rolldown/-/rolldown-1.0.0-beta.32.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /rfdc/-/rfdc-1.4.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/rfdc/-/rfdc-1.4.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /restore-cursor/-/restore-cursor-5.1.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/restore-cursor/-/restore-cursor-5.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /resolve/-/resolve-1.22.10.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/resolve/-/resolve-1.22.10.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /require-from-string/-/require-from-string-2.0.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/require-from-string/-/require-from-string-2.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /readdirp/-/readdirp-4.1.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/readdirp/-/readdirp-4.1.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /reflect-metadata/-/reflect-metadata-0.2.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/reflect-metadata/-/reflect-metadata-0.2.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /raw-body/-/raw-body-3.0.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/raw-body/-/raw-body-3.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /range-parser/-/range-parser-1.2.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/range-parser/-/range-parser-1.2.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /qs/-/qs-6.15.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/qs/-/qs-6.15.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /punycode/-/punycode-2.3.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/punycode/-/punycode-2.3.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /proc-log/-/proc-log-5.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/proc-log/-/proc-log-5.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /promise-retry/-/promise-retry-2.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/promise-retry/-/promise-retry-2.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /proxy-addr/-/proxy-addr-2.0.7.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/proxy-addr/-/proxy-addr-2.0.7.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /postcss-media-query-parser/-/postcss-media-query-parser-0.2.3.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/postcss-media-query-parser/-/postcss-media-query-parser-0.2.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /postcss/-/postcss-8.5.15.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/postcss/-/postcss-8.5.15.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /picomatch/-/picomatch-4.0.3.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/picomatch/-/picomatch-4.0.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /picocolors/-/picocolors-1.1.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/picocolors/-/picocolors-1.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /pkce-challenge/-/pkce-challenge-5.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/pkce-challenge/-/pkce-challenge-5.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /piscina/-/piscina-5.1.3.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/piscina/-/piscina-5.1.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /path-to-regexp/-/path-to-regexp-8.4.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/path-to-regexp/-/path-to-regexp-8.4.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /path-scurry/-/path-scurry-1.11.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/path-scurry/-/path-scurry-1.11.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /path-key/-/path-key-3.1.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/path-key/-/path-key-3.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /path-parse/-/path-parse-1.0.7.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/path-parse/-/path-parse-1.0.7.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /parse5-html-rewriting-stream/-/parse5-html-rewriting-stream-8.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/parse5-html-rewriting-stream/-/parse5-html-rewriting-stream-8.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /parse5/-/parse5-8.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/parse5/-/parse5-8.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /parse5-sax-parser/-/parse5-sax-parser-8.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/parse5-sax-parser/-/parse5-sax-parser-8.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /pacote/-/pacote-21.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/pacote/-/pacote-21.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /parseurl/-/parseurl-1.3.3.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/parseurl/-/parseurl-1.3.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /package-json-from-dist/-/package-json-from-dist-1.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/package-json-from-dist/-/package-json-from-dist-1.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /p-map/-/p-map-7.0.4.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/p-map/-/p-map-7.0.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /ordered-binary/-/ordered-binary-1.6.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/ordered-binary/-/ordered-binary-1.6.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /onetime/-/onetime-7.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/onetime/-/onetime-7.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /once/-/once-1.4.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/once/-/once-1.4.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /ora/-/ora-8.2.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/ora/-/ora-8.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /object-inspect/-/object-inspect-1.13.4.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/object-inspect/-/object-inspect-1.13.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /object-assign/-/object-assign-4.1.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/object-assign/-/object-assign-4.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-registry-fetch/-/npm-registry-fetch-18.0.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/npm-registry-fetch/-/npm-registry-fetch-18.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /nth-check/-/nth-check-2.1.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/nth-check/-/nth-check-2.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /on-finished/-/on-finished-2.4.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/on-finished/-/on-finished-2.4.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-pick-manifest/-/npm-pick-manifest-10.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/npm-pick-manifest/-/npm-pick-manifest-10.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-packlist/-/npm-packlist-10.0.4.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/npm-packlist/-/npm-packlist-10.0.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-normalize-package-bin/-/npm-normalize-package-bin-4.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/npm-normalize-package-bin/-/npm-normalize-package-bin-4.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-bundled/-/npm-bundled-4.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/npm-bundled/-/npm-bundled-4.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-install-checks/-/npm-install-checks-7.1.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/npm-install-checks/-/npm-install-checks-7.1.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /nopt/-/nopt-8.1.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/nopt/-/nopt-8.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /node-releases/-/node-releases-2.0.47.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/node-releases/-/node-releases-2.0.47.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /npm-package-arg/-/npm-package-arg-13.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/npm-package-arg/-/npm-package-arg-13.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /node-gyp-build-optional-packages/-/node-gyp-build-optional-packages-5.2.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/node-gyp-build-optional-packages/-/node-gyp-build-optional-packages-5.2.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /node-addon-api/-/node-addon-api-6.1.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/node-addon-api/-/node-addon-api-6.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /node-gyp/-/node-gyp-11.5.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/node-gyp/-/node-gyp-11.5.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /nanoid/-/nanoid-3.3.12.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/nanoid/-/nanoid-3.3.12.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /negotiator/-/negotiator-1.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/negotiator/-/negotiator-1.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /mute-stream/-/mute-stream-2.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/mute-stream/-/mute-stream-2.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /msgpackr-extract/-/msgpackr-extract-3.0.4.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/msgpackr-extract/-/msgpackr-extract-3.0.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /msgpackr/-/msgpackr-1.12.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/msgpackr/-/msgpackr-1.12.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /mrmime/-/mrmime-2.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/mrmime/-/mrmime-2.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /ms/-/ms-2.1.3.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/ms/-/ms-2.1.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /minipass-sized/-/minipass-sized-1.0.3.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/minipass-sized/-/minipass-sized-1.0.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /mkdirp/-/mkdirp-1.0.4.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/mkdirp/-/mkdirp-1.0.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /minipass-pipeline/-/minipass-pipeline-1.2.4.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/minipass-pipeline/-/minipass-pipeline-1.2.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /minizlib/-/minizlib-3.1.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/minizlib/-/minizlib-3.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /minipass-flush/-/minipass-flush-1.0.7.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/minipass-flush/-/minipass-flush-1.0.7.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /minipass-fetch/-/minipass-fetch-4.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/minipass-fetch/-/minipass-fetch-4.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /minimatch/-/minimatch-9.0.9.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/minimatch/-/minimatch-9.0.9.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /minipass/-/minipass-7.1.3.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/minipass/-/minipass-7.1.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /minipass-collect/-/minipass-collect-2.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/minipass-collect/-/minipass-collect-2.0.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /mimic-function/-/mimic-function-5.0.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/mimic-function/-/mimic-function-5.0.1.tgz" args="-"
